Feature,Importance_mean,Importance_std
VKORC1_code,3.6185854813493,0.2510933064226878
Age,0.9720097367977149,0.11755336254293332
CYP2C9_code,0.9551119584948021,0.11347835238515623
Weight (kg),0.8464021915554033,0.14337824393407764
Height (cm),0.2164844346620716,0.0759939139230458
Gender_code,0.09310389931128131,0.042499574135957556
