Feature,Importance_mean,Importance_std
VKORC1_code,0.4200627024477343,0.02858434355828041
Weight (kg),0.12612424093826255,0.02300227204996562
Age,0.09000219936339077,0.024606670791228337
CYP2C9_code,0.07761059306303768,0.012159210017122639
Height (cm),0.03934409232301713,0.02585406217914386
Gender_code,0.0023531155248758743,0.0019589625766514717
