Feature,Importance_mean,Importance_std
VKORC1_code,3.538628833208768,0.2450070126009745
Age,0.9530849542472997,0.11501271848263704
CYP2C9_code,0.9136467768311124,0.10839440208569243
Weight (kg),0.8443197158999963,0.1425291732235215
Height (cm),0.22794403414588219,0.0756672648148468
Gender_code,0.08785061197323223,0.04226541018175945
