Feature,Importance_mean,Importance_std
VKORC1_code,0.5813289337118566,0.041730321880867643
Age,0.09568397639077784,0.019325492190475163
CYP2C9_code,0.022185091360393785,0.0070992586215322265
Height (cm),0.008322355506835914,0.011077583018277043
Gender_code,0.0,0.0
Weight (kg),0.0,0.0
